% (x+y+z)/3 refractive index data from Ag_example    
% E(eV) n(xyz) k(xyz)    
0.01361 161.68792896385813 185.17245036079646
0.04082 76.53124799013835 113.87832067135541
0.06803 46.98698106447704 88.76033117081936
0.09524 31.303463878874002 72.99751263444507
0.12245 21.995942856238383 61.6525060491048
0.14966 16.124218527144212 53.086913859359925
0.17687 12.239982768902598 46.439607859918816
0.20409 9.564187530834694 41.165807208470646
0.2313 7.657295832340648 36.904934351167476
0.25851 6.256702355428275 33.40234010311885
0.28572 5.201261876805996 30.479815043912513
0.31293 4.388064934768887 28.008929181097738
0.34014 3.7493616335949276 25.895341524287215
0.36735 3.2392108574082186 24.068516509721814
0.39457 2.825550747861675 22.474379569383927
0.42178 2.4859449958398345 21.072871719875796
0.44899 2.203803281018703 19.83108037655611
0.4762 1.96694939571012 18.723511687856114
0.50341 1.766263873188323 17.729683811893832
0.53062 1.594789160160664 16.83310287693169
0.55783 1.4471560627365958 16.020214126843477
0.58504 1.3191708633860277 15.279862949869893
0.61226 1.207475367060994 14.602533915798967
0.63947 1.1095060338249048 13.980951456860646
0.66668 1.0230784743104027 13.408306737414582
0.69389 0.9464628043691871 12.879005856045504
0.7211 0.8782350010388335 12.388312908425007
0.74831 0.8172245696761616 11.932093529522907
0.77552 0.7624494973743602 11.506794915876723
0.80274 0.7130768162117778 11.109251934573216
0.82995 0.6684575999622986 10.737031040420222
0.85716 0.6279858454697216 10.387654510143776
0.88437 0.5911741170324278 10.059049996726781
0.91158 0.5575919476508403 9.749333760831304
0.93879 0.5268784178311819 9.456944584123155
0.966 0.49871844245259966 9.180420474294321
0.99322 0.47283010360439964 8.918372514471155
1.02043 0.4489965361284933 8.669844167541617
1.04764 0.42700050344084234 8.433702000304416
1.07485 0.4066616130612348 8.208999553388804
1.10206 0.3878194985931705 7.99490487519952
1.12927 0.37033489022839006 7.7906513162200035
1.15648 0.3540819907434148 7.595543038925446
1.1837 0.33894638985406716 7.408885520454146
1.21091 0.324840373016143 7.230243513737367
1.23812 0.3116718380189306 7.059011215079212
1.26533 0.29936214575632875 6.894709398829789
1.29254 0.28784117367242396 6.736909717464019
1.31975 0.2770458302439167 6.585192054303012
1.34696 0.266920287160555 6.439188337026482
1.37418 0.25740983836218906 6.298496632124657
1.40139 0.24847602670145666 6.162908431564219
1.4286 0.24007242637283135 6.0320754943804
1.45581 0.23216197432047028 5.905725965731935
1.48302 0.22471136591079008 5.78359708122631
1.51023 0.21768857877562184 5.665455702529969
1.53744 0.21106503112910113 5.551085339585902
1.56466 0.20481344537361554 5.440243427219578
1.59187 0.1989161004337537 5.332801104017641
1.61908 0.19334693437245912 5.228554583920037
1.64629 0.18808827505635572 5.1273265157598145
1.6735 0.1831223729786647 5.028959514997644
1.70071 0.1784319601768346 4.933309027864821
1.72792 0.17400327802003793 4.840224906010228
1.75513 0.1698233249060426 4.749583135569073
1.78235 0.16587846109598042 4.661213968898614
1.80956 0.1621602424770236 4.575073326651739
1.83677 0.15865695659344284 4.491010134688575
1.86398 0.15535979865379043 4.408926929201452
1.89119 0.1522626406537027 4.328704645934953
1.9184 0.1493559940288833 4.250247900176219
1.94561 0.14663556202306588 4.173476007844039
1.97283 0.14409395866457492 4.098263421124077
2.00004 0.14173012796438378 4.024585373572388
2.02725 0.13953857505861433 3.9523121098832
2.05446 0.13751726609943632 3.881367155845407
2.08167 0.13566412042073442 3.8116931609941442
2.10888 0.13397940631973335 3.7431872089594704
2.13609 0.1324622862482852 3.675778319931457
2.16331 0.13111331813655006 3.6093892422670044
2.19052 0.1299368305232259 3.543964387508207
2.21773 0.12893553317103398 3.4794287421520935
2.24494 0.12811509919641514 3.4156863847025103
2.27215 0.12748196047602434 3.3526782801585377
2.29936 0.12704430036633055 3.2903404465580106
2.32657 0.1268143845235744 3.2285572456009035
2.35379 0.1268042822037529 3.16726685424282
2.381 0.12703081300337396 3.106423478447892
2.40821 0.12751486055092626 3.045903813264845
2.43542 0.12828044435373498 2.9856265460374636
2.46263 0.12935841100963574 2.9254920267365176
2.48984 0.13078610511849253 2.8653961340959584
2.51705 0.1326093543165367 2.8052281976431526
2.54427 0.13488711596721656 2.744839619003987
2.57148 0.13769009319914438 2.6841364648179096
2.59869 0.14111121234271165 2.6229453624215715
2.6259 0.145268494868037 2.5610921372729303
2.65311 0.15031645570288416 2.4983824840994777
2.68032 0.15645864466054618 2.4345922261210426
2.70753 0.16396917361228702 2.3694758681816315
2.73475 0.1732266916380061 2.302728270268954
2.76196 0.1847460530257247 2.234101856251989
2.78917 0.19926607460518553 2.163288461691727
2.81638 0.21782784132336933 2.090097837053471
2.84359 0.2418787206404774 2.014600534969321
2.8708 0.2732924158482596 1.9374851598296638
2.89801 0.3140966375185961 1.8605420440561102
2.92522 0.3656237860359764 1.7870144803317298
2.95244 0.4273855448388426 1.721068971289993
2.97965 0.49642910687451 1.666370864529329
3.00686 0.5684113689334886 1.6243957289813473
3.03407 0.6393074077829598 1.5942408731575564
3.06128 0.7065788447006137 1.573745107626535
3.08849 0.7690922538744388 1.5606450252923194
3.1157 0.8265296436602451 1.5530779928416767
3.14292 0.8789801507036024 1.5496083715993947
3.17013 0.9266579423498585 1.5491206996616096
3.19734 0.9699260494354225 1.5507470913638386
3.22455 1.0091700069917218 1.553796673639016
3.25176 1.044812798115527 1.5577431698152289
3.27897 1.0772757182205148 1.5622045234435618
3.30618 1.1069394586428876 1.5669285130792054
3.3334 1.1341161141260858 1.5717217820977263
3.36061 1.1590585064964845 1.5763872054421977
