E(eV),Wavelength(nm),eps1x,eps2x,EELSx,nx,kappax,Rx
0.01361,91097.72226304187,-8145.85,59880.3,1.639655386987841e-05,161.68792896385813,185.17245036079646,0.9893549673823457
0.04082,30373.346398824102,-7111.24,17430.5,4.918422770070649e-05,76.53124799013835,113.87832067135541,0.9838706421186046
0.06803,18224.90077906806,-5670.62,8341.16,8.199240870569583e-05,46.98698106447704,88.76033117081934,0.9815396114961513
0.09524,13018.059638807223,-4348.73,4570.15,0.00011483445741441504,31.303463878874002,72.99751263444507,0.9803498280567972
0.12245,10125.275622703144,-3317.21,2712.21,0.00014772413566041038,21.99594285623838,61.6525060491048,0.9796796943861623
0.14966,8284.377923292797,-2558.23,1711.97,0.00018067556511248593,16.124218527144212,53.086913859359925,0.9792711817071701
0.17687,7009.8942726296145,-2006.82,1136.84,0.00021370250691917506,12.239982768902598,46.43960785991881,0.9790045840417848
0.20409,6074.966926356019,-1603.15,787.435,0.00024683370059187045,9.564187530834694,41.165807208470646,0.9788195078564442
0.2313,5360.311284046692,-1303.34,565.184,0.0002800535790328738,7.657295832340648,36.904934351167476,0.9786841853164572
0.25851,4796.100731112916,-1076.57,417.977,0.0003133947477921497,6.256702355428275,33.40234010311885,0.9785798336519872
0.28572,4339.353212935742,-901.966,317.067,0.00034687229785120195,5.201261876805996,30.479815043912513,0.97849551423266
0.31293,3962.0362381363243,-765.245,245.81,0.00038049760324037674,4.388064934768887,28.008929181097734,0.9784246057944523
0.34014,3645.087316987123,-656.511,194.182,0.00041428733193282904,3.7493616335949276,25.89534152428721,0.9783625705040829
0.36735,3375.091874234381,-568.801,155.926,0.00044825966035915826,3.2392108574082186,24.06851650972181,0.9783063522227073
0.39457,3142.2561269229795,-497.114,127.005,0.0004824453793516723,2.825550747861675,22.474379569383927,0.9782538106651933
0.42178,2939.54194129641,-437.886,104.772,0.0005168277292862379,2.4859449958398345,21.072871719875796,0.9782038723624658
0.44899,2761.397803959999,-388.415,87.4076,0.0005514455865752929,2.203803281018703,19.83108037655611,0.9781550819648502
0.4762,2603.6119277614443,-346.701,73.6564,0.0005863109740036268,1.96694939571012,18.723511687856114,0.9781068566131081
0.50341,2462.8831370056214,-311.222,62.6306,0.0006214479836347709,1.766263873188323,17.729683811893832,0.9780584184747229
0.53062,2336.5873883381705,-280.81,53.6905,0.0006568695777975726,1.594789160160664,16.83310287693169,0.9780094509497304
0.55783,2222.6126239176806,-254.553,46.3675,0.0006925983074465446,1.4471560627365958,16.020214126843477,0.9779595031851923
0.58504,2119.2397101052916,-231.734,40.3135,0.0007286561017775858,1.3191708633860277,15.279862949869893,0.977908217023187
0.61226,2025.022049456113,-211.776,35.2644,0.0007650763930056191,1.207475367060994,14.602533915798967,0.9778553521774834
0.63947,1938.855614806011,-194.236,31.0239,0.0008018561630745404,1.1095060338249048,13.980951456860648,0.9778006687483558
0.66668,1859.7228055438889,-178.736,27.4355,0.0008390249915440711,1.0230784743104027,13.408306737414582,0.9777441089525374
0.69389,1786.7961780685698,-164.973,24.379,0.0008766136727158706,0.9464628043691871,12.879005856045504,0.9776853306797565
0.7211,1719.3731798640965,-152.699,21.7597,0.0009146393821532047,0.8782350010388333,12.388312908425007,0.9776243099611006
0.74831,1656.8534430917666,-141.707,19.5024,0.0009531397651737998,0.8172245696761616,11.932093529522906,0.9775606673464783
0.77552,1598.720858262843,-131.825,17.5467,0.0009921395720916733,0.7624494973743603,11.506794915876723,0.977494351471865
0.80274,1544.5100530682412,-122.907,15.8435,0.0010316694796420642,0.7130768162117778,11.109251934573216,0.9774253679042962
0.82995,1493.8731248870413,-114.837,14.3545,0.0010717441617276273,0.6684575999622986,10.737031040420222,0.9773533915356711
0.85716,1446.4510709785802,-107.509,13.0466,0.0011123939562434194,0.6279858454697216,10.387654510143776,0.9772785235779359
0.88437,1401.9471488178024,-100.835,11.8933,0.0011536647082109209,0.5911741170324278,10.059049996726781,0.9772003439319628
0.91158,1360.1000460738499,-94.7386,10.8723,0.001195597888181073,0.5575919476508403,9.749333760831304,0.9771187070682275
0.93879,1320.6787460454414,-89.1562,9.96532,0.0012382147237411686,0.5268784178311819,9.456944584123155,0.9770336181600259
0.966,1283.4782608695652,-84.0314,9.15689,0.0012815577376360289,0.49871844245259966,9.180420474294321,0.9769448792006639
0.99322,1248.3034977145044,-79.3138,8.43375,0.0013256846659137381,0.47283010360439964,8.918372514471155,0.9768522923728912
1.02043,1215.0171986319492,-74.9646,7.78546,0.0013706060665113482,0.4489965361284933,8.669844167541617,0.9767557392318422
1.04764,1183.4599671642932,-70.945,7.20239,0.0014163804267054352,0.42700050344084234,8.433702000304416,0.9766550495577466
1.07485,1153.5004884402474,-67.2223,6.67657,0.0014630646487830985,0.4066616130612348,8.208999553388804,0.9765499270167258
1.10206,1125.0204163112714,-63.7681,6.20116,0.0015107002261882014,0.3878194985931705,7.99490487519952,0.9764402966253326
1.12927,1097.9128109309554,-60.5571,5.7703,0.0015593472141479886,0.37033489022839006,7.7906513162200035,0.9763258644938805
1.15648,1072.0807969009409,-57.5669,5.37889,0.0016090584474728797,0.3540819907434148,7.595543038925447,0.9762064907112691
1.1837,1047.4275576581904,-54.7767,5.02243,0.0016599169234946085,0.33894638985406716,7.408885520454146,0.9760818414563565
1.21091,1023.8911232048624,-52.1709,4.69735,0.0017119446579184703,0.324840373016143,7.230243513737367,0.9759518331462108
1.23812,1001.3892029851709,-49.7325,4.40019,0.0017652423501182094,0.3116718380189306,7.059011215079212,0.9758160156492779
1.26533,979.8550575739134,-47.4474,4.12803,0.0018198812125423186,0.29936214575632875,6.894709398829789,0.9756741526967752
1.29254,959.2275674253794,-45.3031,3.87832,0.0018759296927608933,0.28784117367242396,6.736909717464019,0.975526044440252
1.31975,939.450653532866,-43.288,3.6488,0.0019334825562133005,0.2770458302439167,6.585192054303013,0.9753712960817108
1.34696,920.4727683078933,-41.3919,3.4375,0.0019926314178643537,0.266920287160555,6.439188337026482,0.9752095439486831
1.37418,902.2398812382658,-39.6048,3.24259,0.0020535009084240033,0.25740983836218906,6.298496632124657,0.9750403404463576
1.40139,884.7215978421424,-37.9197,3.06267,0.0021161505659782693,0.24847602670145666,6.162908431564219,0.974863409950694
1.4286,867.8706425871482,-36.3283,2.89627,0.002180706556430815,0.24007242637283135,6.0320754943804,0.9746783847291117
1.45581,851.6495971314937,-34.8237,2.74217,0.0022472942758710846,0.2321619743204703,5.905725965731934,0.9744847667051338
1.48302,836.0237892948172,-33.3995,2.59928,0.0023160649602049477,0.22471136591079005,5.78359708122631,0.9742818970577294
1.51023,820.9610456685405,-32.05,2.46661,0.002387149746346116,0.21768857877562184,5.665455702529969,0.974069376796467
1.53744,806.4314704964096,-30.77,2.34328,0.002460694857465642,0.21106503112910113,5.551085339585902,0.9738467151313276
1.56466,792.402183221914,-29.5543,2.22847,0.002536899298510078,0.20481344537361554,5.440243427219578,0.9736131658735402
1.59187,778.8575700277032,-28.3992,2.12156,0.0026159300251776736,0.1989161004337537,5.332801104017641,0.9733679226568961
1.61908,765.7682140474836,-27.3004,2.02185,0.0026979593834413457,0.19334693437245914,5.228554583920037,0.9731106493450803
1.64629,753.1115417089334,-26.2541,1.92878,0.0027832405199423238,0.18808827505635572,5.1273265157598145,0.9728402491003652
1.6735,740.8664475649836,-25.2569,1.84183,0.0028720106359173,0.1831223729786647,5.028959514997644,0.9725558762055222
1.70071,729.0131768496686,-24.3057,1.76052,0.0029645047328331767,0.1784319601768346,4.933309027864821,0.9722568146417199
1.72792,717.5332191305152,-23.3975,1.68443,0.0030610399233330808,0.17400327802003793,4.840224906010228,0.9719418122595995
1.75513,706.4092118532529,-22.5297,1.61318,0.003161921731158627,0.1698233249060426,4.749583135569073,0.9716097903955313
